date,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri
2023-09-03,1,1,21,0,0,0593236599,9780593236598,Harmony,A look at recent scientific research on aging and longevity.,0.00,OUTLIVE,Peter Attia with Bill Gifford,by Peter Attia with Bill Gifford,,https://storage.googleapis.com/du-prd/books/images/9780593236598.jpg,385,500,https://www.amazon.com/dp/0593236599?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593236599', 'isbn13': '9780593236598'}, {'isbn10': '0593236602', 'isbn13': '9780593236604'}, {'isbn10': '0593664442', 'isbn13': '9780593664445'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593236599?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593236598?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593236598'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FOUTLIVE%2FPeter%2BAttia%2Bwith%2BBill%2BGifford%2F9780593236598'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593236598'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593236598?aff=NYT'}]",nyt://book/69f6e624-4f30-59d6-8103-816d17ae5ec1
2023-09-03,2,2,18,0,0,0385534264,9780385534260,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,0.00,THE WAGER,David Grann,by David Grann,,https://storage.googleapis.com/du-prd/books/images/9780385534260.jpg,329,500,https://www.amazon.com/dp/0385534264?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385534264', 'isbn13': '9780385534260'}, {'isbn10': '0385534272', 'isbn13': '9780385534277'}, {'isbn10': '0307747492', 'isbn13': '9780307747495'}, {'isbn10': '0307747484', 'isbn13': '9780307747488'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385534264?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385534260?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385534260'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BWAGER%2FDavid%2BGrann%2F9780385534260'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780385534260'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780385534260?aff=NYT'}]",nyt://book/92ec85ca-4cff-59b6-94a3-b81002bfc8e6
2023-09-03,3,3,54,0,0,1982185821,9781982185824,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,0.00,I'M GLAD MY MOM DIED,Jennette McCurdy,by Jennette McCurdy,,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg,329,500,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982185821', 'isbn13': '9781982185824'}, {'isbn10': '1982185848', 'isbn13': '9781982185848'}, {'isbn10': '179714796X', 'isbn13': '9781797147963'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982185824?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982185824'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FI%2527M%2BGLAD%2BMY%2BMOM%2BDIED%2FJennette%2BMcCurdy%2F9781982185824'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781982185824'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781982185824?aff=NYT'}]",nyt://book/be73b1c3-c238-5232-af55-bf70c59cb907
2023-09-03,4,0,2,0,0,0385548362,9780385548366,Doubleday,The ways in which quantum computing might be a benefit to society.,0.00,QUANTUM SUPREMACY,Michio Kaku,by Michio Kaku,,https://storage.googleapis.com/du-prd/books/images/9780385548366.jpg,329,500,https://www.amazon.com/dp/0385548362?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385548362', 'isbn13': '9780385548366'}, {'isbn10': '0385548370', 'isbn13': '9780385548373'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385548362?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385548366?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385548366'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FQUANTUM%2BSUPREMACY%2FMichio%2BKaku%2F9780385548366'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780385548366'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780385548366?aff=NYT'}]",nyt://book/e07ed481-fba9-52d0-84c8-ccee6ec46007
2023-09-03,5,4,6,0,0,1250326753,9781250326751,Flatiron,An oral history of the K-pop group that is celebrating its 10th anniversary.,0.00,BEYOND THE STORY,BTS and Myeongseok Kang,by BTS and Myeongseok Kang,,https://storage.googleapis.com/du-prd/books/images/9781250326751.jpg,336,500,https://www.amazon.com/dp/1250326753?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250326753', 'isbn13': '9781250326751'}, {'isbn10': '1250326761', 'isbn13': '9781250326768'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250326753?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250326751?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250326751'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBEYOND%2BTHE%2BSTORY%2FBTS%2Band%2BMyeongseok%2BKang%2F9781250326751'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781250326751'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781250326751?aff=NYT'}]",nyt://book/4fb7ac9f-69d4-5758-b614-3ca0f5faf11d
2023-09-03,6,6,10,0,0,1250878357,9781250878359,Flatiron,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,0.00,PAGEBOY,Elliot Page,by Elliot Page,,https://storage.googleapis.com/du-prd/books/images/9781250878359.jpg,324,500,https://www.amazon.com/dp/1250878357?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250878357', 'isbn13': '9781250878359'}, {'isbn10': '1250878365', 'isbn13': '9781250878366'}, {'isbn10': '1250897653', 'isbn13': '9781250897657'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250878357?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250878359?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250878359'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FPAGEBOY%2FElliot%2BPage%2F9781250878359'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781250878359'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781250878359?aff=NYT'}]",nyt://book/fc264f20-2719-5c9e-954e-e872ebb6f148
2023-09-03,7,5,10,0,0,059349993X,9780593499931,Ballantine,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,0.00,THE IN-BETWEEN,Hadley Vlahos,by Hadley Vlahos,,https://storage.googleapis.com/du-prd/books/images/9780593499931.jpg,331,500,https://www.amazon.com/dp/059349993X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '059349993X', 'isbn13': '9780593499931'}, {'isbn10': '0593499948', 'isbn13': '9780593499948'}, {'isbn10': '0593668812', 'isbn13': '9780593668818'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/059349993X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593499931?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593499931'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BIN-BETWEEN%2FHadley%2BVlahos%2F9780593499931'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593499931'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593499931?aff=NYT'}]",nyt://book/9699c550-34ce-56c6-a242-3359bdeca897
2023-09-03,8,0,37,0,0,1984878107,9781984878106,Viking,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,0.00,THINK AGAIN,Adam Grant,by Adam Grant,,https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg,331,500,https://www.amazon.com/dp/1984878107?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1984878107', 'isbn13': '9781984878106'}, {'isbn10': '1984878115', 'isbn13': '9781984878113'}, {'isbn10': '0593395786', 'isbn13': '9780593395783'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1984878107?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781984878106?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984878106'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHINK%2BAGAIN%2FAdam%2BGrant%2F9781984878106'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781984878106'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781984878106?aff=NYT'}]",nyt://book/63c6144a-3991-5653-ad88-4bca2e9afc1b
2023-09-03,9,10,5,0,0,1982173734,9781982173739,Simon & Schuster,One of the authors of “The Fourth Turning” gives reflections on the cycles of history and makes predictions of potential outcomes generated by the present era of polarization.,0.00,THE FOURTH TURNING IS HERE,Neil Howe,by Neil Howe,,https://storage.googleapis.com/du-prd/books/images/9781982173739.jpg,329,500,https://www.amazon.com/dp/1982173734?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982173734', 'isbn13': '9781982173739'}, {'isbn10': '1982173750', 'isbn13': '9781982173753'}, {'isbn10': '1797157817', 'isbn13': '9781797157818'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982173734?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982173739?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982173739'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BFOURTH%2BTURNING%2BIS%2BHERE%2FNeil%2BHowe%2F9781982173739'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781982173739'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781982173739?aff=NYT'}]",nyt://book/ea115c73-6693-569f-8243-8ba23c4a86c7
2023-09-03,10,9,54,0,0,1250223180,9781250223180,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,0.00,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,by Bruce D. Perry and Oprah Winfrey,,https://storage.googleapis.com/du-prd/books/images/9781250223180.jpg,319,500,https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250223180', 'isbn13': '9781250223180'}, {'isbn10': '1250223210', 'isbn13': '9781250223210'}, {'isbn10': '1250260655', 'isbn13': '9781250260659'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250223180?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250223180'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWHAT%2BHAPPENED%2BTO%2BYOU%253F%2FBruce%2BD.%2BPerry%2Band%2BOprah%2BWinfrey%2F9781250223180'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781250223180'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781250223180?aff=NYT'}]",nyt://book/5bd45771-6d8f-5a8e-aa45-46b74262534e
2023-09-03,11,12,7,0,0,0525657320,9780525657323,Knopf,"The author of “The Stranger in the Woods” tells the story of Stéphane Breitwieser, who stole art more than 200 times for the sake of admiring it.",0.00,THE ART THIEF,Michael Finkel,by Michael Finkel,,https://storage.googleapis.com/du-prd/books/images/9780525657323.jpg,348,500,https://www.amazon.com/dp/0525657320?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525657320', 'isbn13': '9780525657323'}, {'isbn10': '0525657339', 'isbn13': '9780525657330'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525657320?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525657323?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525657323'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BART%2BTHIEF%2FMichael%2BFinkel%2F9780525657323'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780525657323'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780525657323?aff=NYT'}]",nyt://book/bc14d85f-46f1-5d54-b0d0-3e2f3bc14944
2023-09-03,12,0,1,0,1,1958682012,9781958682012,All Seasons,An overview of the personal and professional life of the conservative commentator Tucker Carlson.,0.00,TUCKER,Chadwick Moore,by Chadwick Moore,,https://storage.googleapis.com/du-prd/books/images/9781958682012.jpg,333,500,https://www.amazon.com/dp/1958682012?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1958682012', 'isbn13': '9781958682012'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1958682012?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781958682012?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781958682012'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTUCKER%2FChadwick%2BMoore%2F9781958682012'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781958682012'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781958682012?aff=NYT'}]",nyt://book/30139a59-455f-5bd0-ab74-818ab79b0e8d
2023-09-03,13,0,1,0,1,1400236258,9781400236251,HarperCollins Leadership,The Grammy-nominated recording artist shares how he overcame obstacles in his life and career.,0.00,ADVERSITY FOR SALE,"Jay ""Jeezy"" Jenkins with Benjamin Meadows-Ingram","by Jay ""Jeezy"" Jenkins with Benjamin Meadows-Ingram",,https://storage.googleapis.com/du-prd/books/images/9781400236251.jpg,331,500,https://www.amazon.com/dp/1400236258?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1400236258', 'isbn13': '9781400236251'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1400236258?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781400236251?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781400236251'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FADVERSITY%2BFOR%2BSALE%2FJay%2B%2522Jeezy%2522%2BJenkins%2Bwith%2BBenjamin%2BMeadows-Ingram%2F9781400236251'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781400236251'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781400236251?aff=NYT'}]",nyt://book/c91a96f7-cfd6-52f0-9ed8-7b9aab50e1d2
2023-09-03,14,8,15,0,0,0593239911,9780593239919,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,0.00,"POVERTY, BY AMERICA",Matthew Desmond,by Matthew Desmond,,https://storage.googleapis.com/du-prd/books/images/9780593239919.jpg,329,500,https://www.amazon.com/dp/0593239911?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593239911', 'isbn13': '9780593239919'}, {'isbn10': '059323992X', 'isbn13': '9780593239926'}, {'isbn10': '0593678540', 'isbn13': '9780593678541'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593239911?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593239919?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593239919'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FPOVERTY%252C%2BBY%2BAMERICA%2FMatthew%2BDesmond%2F9780593239919'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593239919'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593239919?aff=NYT'}]",nyt://book/f21834a2-0566-54a6-bf85-b2aabf4a71e0
2023-09-03,15,0,29,0,0,0593593804,9780593593806,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",0.00,SPARE,Prince Harry,by Prince Harry,,https://storage.googleapis.com/du-prd/books/images/9780593593806.jpg,329,500,https://www.amazon.com/dp/0593593804?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593593804', 'isbn13': '9780593593806'}, {'isbn10': '0593593812', 'isbn13': '9780593593813'}, {'isbn10': '0593675096', 'isbn13': '9780593675090'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593593804?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593593806?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593593806'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSPARE%2FPrince%2BHarry%2F9780593593806'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593593806'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593593806?aff=NYT'}]",nyt://book/f65a1f09-ba88-56d7-8674-390729e19b89
2023-09-10,1,1,22,0,0,0593236599,9780593236598,Harmony,A look at recent scientific research on aging and longevity.,0.00,OUTLIVE,Peter Attia with Bill Gifford,by Peter Attia with Bill Gifford,,https://storage.googleapis.com/du-prd/books/images/9780593236598.jpg,385,500,https://www.amazon.com/dp/0593236599?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593236599', 'isbn13': '9780593236598'}, {'isbn10': '0593236602', 'isbn13': '9780593236604'}, {'isbn10': '0593664442', 'isbn13': '9780593664445'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593236599?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593236598?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593236598'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FOUTLIVE%2FPeter%2BAttia%2Bwith%2BBill%2BGifford%2F9780593236598'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593236598'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593236598?aff=NYT'}]",nyt://book/69f6e624-4f30-59d6-8103-816d17ae5ec1
2023-09-10,2,0,1,0,1,1668032856,9781668032855,Avid Reader,The sports gambler shares his life story and gives insights on his betting system.,0.00,GAMBLER,Billy Walters with Armen Keteyian,by Billy Walters with Armen Keteyian,,https://storage.googleapis.com/du-prd/books/images/9781668032855.jpg,331,500,https://www.amazon.com/dp/1668032856?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1668032856', 'isbn13': '9781668032855'}, {'isbn10': '1668032872', 'isbn13': '9781668032879'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1668032856?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781668032855?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668032855'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FGAMBLER%2FBilly%2BWalters%2Bwith%2BArmen%2BKeteyian%2F9781668032855'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781668032855'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781668032855?aff=NYT'}]",nyt://book/807f7f8e-6927-5c7d-bb88-31f39e583198
2023-09-10,3,2,19,0,0,0385534264,9780385534260,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,0.00,THE WAGER,David Grann,by David Grann,,https://storage.googleapis.com/du-prd/books/images/9780385534260.jpg,329,500,https://www.amazon.com/dp/0385534264?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385534264', 'isbn13': '9780385534260'}, {'isbn10': '0385534272', 'isbn13': '9780385534277'}, {'isbn10': '0307747492', 'isbn13': '9780307747495'}, {'isbn10': '0307747484', 'isbn13': '9780307747488'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385534264?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385534260?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385534260'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BWAGER%2FDavid%2BGrann%2F9780385534260'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780385534260'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780385534260?aff=NYT'}]",nyt://book/92ec85ca-4cff-59b6-94a3-b81002bfc8e6
2023-09-10,4,3,55,0,0,1982185821,9781982185824,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,0.00,I'M GLAD MY MOM DIED,Jennette McCurdy,by Jennette McCurdy,,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg,329,500,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982185821', 'isbn13': '9781982185824'}, {'isbn10': '1982185848', 'isbn13': '9781982185848'}, {'isbn10': '179714796X', 'isbn13': '9781797147963'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982185824?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982185824'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FI%2527M%2BGLAD%2BMY%2BMOM%2BDIED%2FJennette%2BMcCurdy%2F9781982185824'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781982185824'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781982185824?aff=NYT'}]",nyt://book/be73b1c3-c238-5232-af55-bf70c59cb907
